@relation InstanceResultListener

@attribute Key_Dataset {transition}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {''}
@attribute Key_Scheme_version_ID {5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

transition,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,404,6,0,98.536585,1.463415,0,0,0.042309,0.1272,145.336052,105.926335,45.161205,274.768722,-229.607517,0.110149,0.670168,-0.560018,-264.78366,-0.645814,-236759.574271,0,0,0,0,1,404,1,6,0,0,0,0.436469,0.985366,0.985366,0.014634,0.014634,0.970946,0.985366,0.978103,0.437485,0.049,0.004,0.05,0.01,6708,729355,83983,?
transition,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,404,6,0,98.536585,1.463415,0,0,0.042522,0.135864,146.0676,113.14106,45.161205,66.06719,-20.905985,0.110149,0.161139,-0.05099,-199.483047,-0.486544,-178370.225855,0,0,0,0,1,404,1,6,0,0,0,0.200908,0.985366,0.985366,0.014634,0.014634,0.970946,0.985366,0.978103,0.200908,0.056,0.005,0.06,0,6708,729355,83983,?
transition,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,395,15,0,96.341463,3.658537,0,-0.017875,0.053235,0.164831,182.869272,137.26392,45.161205,73.062134,-27.900929,0.110149,0.1782,-0.068051,-215.837806,-0.526434,-192994.035912,0,0,0.022277,9,0.977723,395,1,6,0,0,0,0.341997,0.963415,0.985692,0.014308,0.036585,0.970622,0.963415,0.967005,0.341997,0.053,0.004,0.05,0,6708,729355,83983,?
transition,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,404,6,0,98.536585,1.463415,0,0,0.032255,0.122551,110.799323,102.055142,45.161205,49.738742,-4.577538,0.110149,0.121314,-0.011165,-114.697729,-0.279751,-102558.388437,0,0,0,0,1,404,1,6,0,0,0,0.37335,0.985366,0.985366,0.014634,0.014634,0.970946,0.985366,0.978103,0.37335,0.053,0.005,0.05,0.01,6708,729355,83983,?
transition,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,404,6,0,98.536585,1.463415,0,0,0.044348,0.130575,152.340927,108.737117,45.161205,299.270398,-254.109193,0.110149,0.729928,-0.619779,-328.883041,-0.802154,-294074.826641,0,0,0,0,1,404,1,6,0,0,0,0.132426,0.985366,0.985366,0.014634,0.014634,0.970946,0.985366,0.978103,0.131409,0.049,0.005,0.05,0.01,6708,729355,83983,?
transition,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3686,410,404,6,0,98.536585,1.463415,0,0,0.04017,0.129386,137.989726,107.746677,45.161205,55.427509,-10.266305,0.110149,0.135189,-0.02504,-204.780338,-0.499464,-183106.86401,0,0,0,0,1,404,1,6,0,0,0,0.390677,0.985366,0.985366,0.014634,0.014634,0.970946,0.985366,0.978103,0.390677,0.048,0.004,0.05,0.01,6708,729355,83983,?
transition,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3687,409,394,15,0,96.332518,3.667482,0,-0.017919,0.059835,0.169267,205.324712,140.788453,45.139488,79.900286,-34.760798,0.110365,0.195355,-0.08499,-290.888658,-0.711219,-260158.535228,0,0,0.022333,9,0.977667,394,1,6,0,0,0,0.145988,0.963325,0.985658,0.014342,0.036675,0.97055,0.963325,0.966924,0.145988,0.058,0.005,0.06,0.01,6708,729552,83786,?
transition,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3687,409,403,6,0,98.533007,1.466993,0,0,0.038147,0.127946,130.902161,106.419587,45.139488,60.104125,-14.964637,0.110365,0.146954,-0.036588,-181.676706,-0.444197,-162483.975891,0,0,0,0,1,403,1,6,0,0,0,0.315136,0.98533,0.98533,0.01467,0.01467,0.970875,0.98533,0.978049,0.315136,0.049,0.004,0.05,0,6708,729552,83786,?
transition,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130408.1716,3687,409,403,6,0,98.533007,1.466993,0,0,0.03481,0.123284,119.451725,102.542109,45.139488,51.175687,-6.036199,0.110365,0.125124,-0.014758,-156.405597,-0.38241,-139882.563201,0,0,0,0,1,403,1,6,0,0,0,0.409016,0.98533,0.98533,0.01467,0.01467,0.970875,0.98533,0.978049,0.409016,0.046,0.005,0.05,0,6708,729552,83786,?
