@relation InstanceResultListener

@attribute Key_Dataset {transition}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.meta.FilteredClassifier}
@attribute Key_Scheme_options {'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 80.0\" -W weka.classifiers.bayes.NaiveBayes --','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 70.0\" -W weka.classifiers.bayes.NaiveBayes --','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 60.0\" -W weka.classifiers.bayes.NaiveBayes --','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 50.0\" -W weka.classifiers.bayes.NaiveBayes --','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 40.0\" -W weka.classifiers.bayes.NaiveBayes --','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 30.0\" -W weka.classifiers.bayes.NaiveBayes --','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 20.0\" -W weka.classifiers.bayes.NaiveBayes --','-F \"weka.filters.unsupervised.instance.RemovePercentage -P 10.0\" -W weka.classifiers.bayes.NaiveBayes --'}
@attribute Key_Scheme_version_ID {-4523450618538717400}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

transition,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,378,32,0,92.195122,7.804878,0,-0.02436,0.085068,0.253686,292.222002,211.25775,45.161205,614.985298,-569.824094,0.110149,1.499964,-1.389815,-275.733038,-0.67252,-246550.096143,0,0,0.064356,26,0.935644,378,1,6,0,0,0,0.435231,0.921951,0.986308,0.013692,0.078049,0.96997,0.921951,0.945351,0.404337,0.002,0.004,0,0.01,9806,729355,83983,?
transition,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,392,18,0,95.609756,4.390244,0,-0.0199,0.045587,0.201406,156.598641,167.721291,45.161205,1001.405151,-956.243947,0.110149,2.442452,-2.332302,-90.187917,-0.219971,-80642.637837,0,0,0.029703,12,0.970297,392,1,6,0,0,0,0.440182,0.956098,0.985801,0.014199,0.043902,0.970511,0.956098,0.96325,0.395873,0.002,0.004,0.01,0,9806,729355,83983,?
transition,1,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,387,23,0,94.390244,5.609756,0,-0.022111,0.067421,0.224327,231.600237,186.808755,45.161205,732.853314,-687.692109,0.110149,1.787447,-1.677298,-217.002565,-0.529275,-194035.518816,0,0,0.042079,17,0.957921,387,1,6,0,0,0,0.368399,0.943902,0.985982,0.014018,0.056098,0.970322,0.943902,0.95693,0.385879,0.001,0.004,0,0.01,9806,729355,83983,?
transition,1,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,386,24,0,94.146341,5.853659,0,-0.022444,0.061966,0.231046,212.863189,192.404569,45.161205,241.79756,-196.636356,0.110149,0.58975,-0.479601,-152.670686,-0.372368,-136512.376325,0,0,0.044554,18,0.955446,386,1,6,0,0,0,0.403465,0.941463,0.986018,0.013982,0.058537,0.970284,0.941463,0.955656,0.403465,0.001,0.004,0,0,9806,729355,83983,?
transition,1,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,377,33,0,91.95122,8.04878,0,-0.024534,0.102351,0.245737,351.589163,204.63826,45.161205,455.524498,-410.363294,0.110149,1.111035,-1.000886,-442.455287,-1.079159,-395626.850204,0,0,0.066832,27,0.933168,377,1,6,0,0,0,0.208333,0.919512,0.986344,0.013656,0.080488,0.969929,0.919512,0.944048,0.209146,0.002,0.004,0.01,0,9806,729355,83983,?
transition,1,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,368,42,0,89.756098,10.243902,0,-0.025733,0.116312,0.276264,399.546716,230.059496,45.161205,477.358297,-432.197093,0.110149,1.164289,-1.054139,-426.187834,-1.039483,-381081.107148,0,0,0.089109,36,0.910891,368,1,6,0,0,0,0.542079,0.897561,0.98667,0.01333,0.102439,0.969558,0.897561,0.932171,0.552242,0.002,0.004,0,0,9806,729355,83983,?
transition,1,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3687,409,376,33,0,91.93154,8.06846,0,-0.024596,0.101966,0.264918,349.896009,220.346386,45.139488,306.959204,-261.819716,0.110365,0.750512,-0.640146,-401.630255,-0.981981,-359201.144302,0,0,0.066998,27,0.933002,376,1,6,0,0,0,0.656741,0.919315,0.986313,0.013687,0.080685,0.969854,0.919315,0.943909,0.656741,0.002,0.004,0,0,9806,729552,83786,?
transition,1,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3687,409,377,32,0,92.176039,7.823961,0,-0.024421,0.07573,0.249569,259.869257,207.579711,45.139488,372.195665,-327.056177,0.110365,0.910014,-0.799648,-204.875715,-0.500919,-183232.190713,0,0,0.064516,26,0.935484,377,1,6,0,0,0,0.317618,0.92176,0.986277,0.013723,0.07824,0.969894,0.92176,0.945215,0.304985,0.002,0.004,0,0,9806,729552,83786,?
transition,1,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3687,409,401,8,0,98.04401,1.95599,0,-0.007389,0.019382,0.138615,66.508345,115.293112,45.139488,4274.590676,-4229.451188,0.110365,10.451322,-10.340956,-3.466664,-0.008476,-3100.43783,0,0,0.004963,2,0.995037,401,1,6,0,0,0,0.516129,0.98044,0.985403,0.014597,0.01956,0.970804,0.98044,0.975598,0.494124,0.002,0.005,0,0.01,9806,729552,83786,?
transition,1,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3687,409,372,37,0,90.953545,9.046455,0,-0.025202,0.102553,0.271726,351.911482,226.009187,45.139488,1424.903424,-1379.763936,0.110365,3.483871,-3.373506,-347.406863,-0.849406,-310706.032078,0,0,0.076923,31,0.923077,372,1,6,0,0,0,0.39909,0.909535,0.986459,0.013541,0.090465,0.96969,0.909535,0.93865,0.412945,0.002,0.007,0,0.01,9806,729552,83786,?
transition,2,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,379,31,0,92.439024,7.560976,0,-0.024174,0.07531,0.234808,258.699831,195.537509,45.161205,1234.807669,-1189.646465,0.110149,3.011726,-2.901577,-224.511257,-0.547588,-200749.508255,0,0,0.061881,25,0.938119,379,1,6,0,0,0,0.505363,0.92439,0.986271,0.013729,0.07561,0.97001,0.92439,0.946651,0.551908,0.002,0.004,0,0.01,9806,729355,83983,?
transition,2,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,378,32,0,92.195122,7.804878,0,-0.02436,0.095928,0.24478,329.52455,203.841297,45.161205,433.079213,-387.918008,0.110149,1.056291,-0.946141,-396.60652,-0.967333,-354630.610388,0,0,0.064356,26,0.935644,378,1,6,0,0,0,0.349835,0.921951,0.986308,0.013692,0.078049,0.96997,0.921951,0.945351,0.351461,0.002,0.004,0,0.01,9806,729355,83983,?
transition,2,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,397,13,0,96.829268,3.170732,0,-0.016012,0.031664,0.177558,108.771349,147.862209,45.161205,4693.272521,-4648.111316,0.110149,11.447006,-11.336857,-34.267135,-0.083578,-30640.381672,0,0,0.017327,7,0.982673,397,1,6,0,0,0,0.67203,0.968293,0.985619,0.014381,0.031707,0.970695,0.968293,0.969493,0.490322,0.002,0.005,0.01,0,9806,729355,83983,?
transition,2,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,363,47,0,88.536585,11.463415,0,-0.026201,0.1527,0.291171,524.54571,242.473282,45.161205,257.078695,-211.91749,0.110149,0.627021,-0.516872,-694.366504,-1.693577,-620876.371586,0,0,0.101485,41,0.898515,363,1,6,0,0,0,0.287541,0.885366,0.986851,0.013149,0.114634,0.969344,0.885366,0.925454,0.285102,0.001,0.004,0.01,0,9806,729355,83983,?
transition,2,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 90.0\" -W weka.classifiers.bayes.NaiveBayes --',-4523450618538717400,20130408.1726,3686,410,404,6,0,98.536585,1.463415,0,0,0.014634,0.120972,50.270344,100.739565,45.161205,6444,-6398.838795,0.110149,15.717073,-15.606924,8.627561,0.021043,7714.440427,0,0,0,0,1,404,1,6,0,0,0,0.5,0.985366,0.985366,0.014634,0.014634,0.970946,0.985366,0.978103,0.5,0.002,0.004,0,0,9806,729355,83983,?
