@relation MarginCurve

@attribute Instance_number numeric
@attribute Margin numeric
@attribute Current numeric
@attribute Cumulative numeric

@data
0,-1,0,0
1,-1,1,1
2,-1,1,2
3,-1,1,3
4,-0.999994,1,4
5,-0.999527,1,5
6,-0.997883,1,6
7,-0.99785,1,7
8,-0.997744,1,8
9,-0.997563,1,9
10,-0.997109,1,10
11,-0.997034,1,11
12,-0.996362,1,12
13,-0.995219,1,13
14,-0.9943,1,14
15,-0.993209,1,15
16,-0.99268,1,16
17,-0.991775,1,17
18,-0.991641,1,18
19,-0.990728,1,19
20,-0.990421,1,20
21,-0.989982,1,21
22,-0.989551,1,22
23,-0.988086,1,23
24,-0.987621,1,24
25,-0.986051,1,25
26,-0.985669,1,26
27,-0.985216,1,27
28,-0.984957,1,28
29,-0.984719,1,29
30,-0.984195,1,30
31,-0.983542,1,31
32,-0.983414,1,32
33,-0.983293,1,33
34,-0.981591,1,34
35,-0.9806,1,35
36,-0.980559,1,36
37,-0.979194,1,37
38,-0.97741,1,38
39,-0.977388,1,39
40,-0.976659,1,40
41,-0.975311,1,41
42,-0.974436,1,42
43,-0.974323,1,43
44,-0.973796,1,44
45,-0.972094,1,45
46,-0.970322,1,46
47,-0.969279,1,47
48,-0.969103,1,48
49,-0.967399,1,49
50,-0.966046,1,50
51,-0.964826,1,51
52,-0.962771,1,52
53,-0.962309,1,53
54,-0.958497,1,54
55,-0.95648,1,55
56,-0.951523,1,56
57,-0.946121,1,57
58,-0.918588,1,58
59,-0.879599,1,59
60,-0.860151,1,60
61,-0.754412,1,61
62,-0.627172,1,62
63,-0.578072,1,63
64,-0.447274,1,64
65,-0.365438,1,65
66,-0.267232,1,66
67,-0.246444,1,67
68,-0.215202,1,68
69,-0.19264,1,69
70,-0.182152,1,70
71,-0.173595,1,71
72,-0.164647,1,72
73,-0.160509,1,73
74,-0.148414,1,74
75,-0.127978,1,75
76,-0.115918,1,76
77,-0.087281,1,77
78,-0.064731,1,78
79,0.011154,1,79
80,0.02923,1,80
81,0.030033,1,81
82,0.051972,1,82
83,0.06721,1,83
84,0.075028,1,84
85,0.107283,1,85
86,0.111959,1,86
87,0.127851,1,87
88,0.156028,1,88
89,0.18131,1,89
90,0.194306,1,90
91,0.202089,1,91
92,0.23305,1,92
93,0.274501,1,93
94,0.28132,1,94
95,0.304949,1,95
96,0.308017,1,96
97,0.324178,1,97
98,0.333325,1,98
99,0.334707,1,99
100,0.35204,1,100
101,0.362703,1,101
102,0.382937,1,102
103,0.404519,1,103
104,0.410698,1,104
105,0.433436,1,105
106,0.446065,1,106
107,0.453047,1,107
108,0.465175,1,108
109,0.476304,1,109
110,0.482242,1,110
111,0.483902,1,111
112,0.4915,1,112
113,0.493272,1,113
114,0.502055,1,114
115,0.503118,1,115
116,0.503582,1,116
117,0.504246,1,117
118,0.504553,1,118
119,0.510429,1,119
120,0.514148,1,120
121,0.518421,1,121
122,0.521826,1,122
123,0.522295,1,123
124,0.52545,1,124
125,0.529122,1,125
126,0.553632,1,126
127,0.556712,1,127
128,0.557701,1,128
129,0.566822,1,129
130,0.567581,1,130
131,0.572121,1,131
132,0.572388,1,132
133,0.573164,1,133
134,0.573374,1,134
135,0.574236,1,135
136,0.574461,1,136
137,0.582657,1,137
138,0.584607,1,138
139,0.591854,1,139
140,0.595901,1,140
141,0.597721,1,141
142,0.605246,1,142
143,0.606876,1,143
144,0.608003,1,144
145,0.613557,1,145
146,0.614032,1,146
147,0.615262,1,147
148,0.618488,1,148
149,0.632049,1,149
150,0.639883,1,150
151,0.64053,1,151
152,0.643201,1,152
153,0.644162,1,153
154,0.645316,1,154
155,0.647514,1,155
156,0.652579,1,156
157,0.654768,1,157
158,0.655201,1,158
159,0.657366,1,159
160,0.661372,1,160
161,0.662754,1,161
162,0.665678,1,162
163,0.667015,1,163
164,0.669632,1,164
165,0.670474,1,165
166,0.672327,1,166
167,0.672544,1,167
168,0.675282,1,168
169,0.675327,1,169
170,0.677041,1,170
171,0.679334,1,171
172,0.682367,1,172
173,0.690261,1,173
174,0.690934,1,174
175,0.695304,1,175
176,0.700941,1,176
177,0.701676,1,177
178,0.702625,1,178
179,0.703864,1,179
180,0.704873,1,180
181,0.708735,1,181
182,0.710978,1,182
183,0.711727,1,183
184,0.711887,1,184
185,0.714482,1,185
186,0.716778,1,186
187,0.718864,1,187
188,0.720521,1,188
189,0.721804,1,189
190,0.725458,1,190
191,0.726749,1,191
192,0.732091,1,192
193,0.732406,1,193
194,0.739262,1,194
195,0.74041,1,195
196,0.743003,1,196
197,0.74304,1,197
198,0.744521,1,198
199,0.745817,1,199
200,0.746145,1,200
201,0.746172,1,201
202,0.746878,1,202
203,0.74694,1,203
204,0.747139,1,204
205,0.747536,1,205
206,0.747554,1,206
207,0.748608,1,207
208,0.748633,1,208
209,0.749676,1,209
210,0.749811,1,210
211,0.749826,1,211
212,0.750687,1,212
213,0.752051,1,213
214,0.752072,1,214
215,0.752841,1,215
216,0.753137,1,216
217,0.753776,1,217
218,0.754468,1,218
219,0.754881,1,219
220,0.754969,1,220
221,0.755241,1,221
222,0.756239,1,222
223,0.757,1,223
224,0.757121,1,224
225,0.75776,1,225
226,0.762937,1,226
227,0.763468,1,227
228,0.764758,1,228
229,0.765318,1,229
230,0.765455,1,230
231,0.765997,1,231
232,0.766806,1,232
233,0.767431,1,233
234,0.76851,1,234
235,0.768943,1,235
236,0.770379,1,236
237,0.770684,1,237
238,0.771184,1,238
239,0.772915,1,239
240,0.7752,1,240
241,0.77581,1,241
242,0.777994,1,242
243,0.778592,1,243
244,0.77925,1,244
245,0.779746,1,245
246,0.780878,1,246
247,0.782124,1,247
248,0.78369,1,248
249,0.783805,1,249
250,0.786499,1,250
251,0.787342,1,251
252,0.788254,1,252
253,0.788499,1,253
254,0.788857,1,254
255,0.789861,1,255
256,0.789977,1,256
257,0.790031,1,257
258,0.793676,1,258
259,0.793886,1,259
260,0.794843,1,260
261,0.795244,1,261
262,0.796266,1,262
263,0.796995,1,263
264,0.799206,1,264
265,0.800975,1,265
266,0.801483,1,266
267,0.802081,1,267
268,0.802592,1,268
269,0.803419,1,269
270,0.803961,1,270
271,0.807288,1,271
272,0.808112,1,272
273,0.80823,1,273
274,0.808264,1,274
